event_id,name,min_number,max_number,description,outcome
1.1988-02,unknown_011,5,5,"5 Iranian refugees, at least one of whom may have had ""Balouch"" as a name or was ethnically Balouch",wounded
1.1989-01,Ataellah Bayahmadi,1,1,"Ataellah Bayahmadi had worked for Iranian military intelligence. He had taken part in coup plots and, per Gasiorowski (2002), had “tried to undertake armed operations against the Iranian government in revenge for the execution of his sister, but [with] little success” (p. 658). He had come to Dubai on a mission for the Flag of Freedom Organization, to meet with dissident Iranian military officers.",killed
1.1989-02,Abdolrahman Ghassemlou,1,1,"Abdolrahman Ghassemlou, 59, the leader of the Democratic Party of Iranian Kurdistan (PDKI), who may have been negotiating to return home",killed
1.1989-02,Abdollah Ghaderi-Azar,1,1,"Abdollah Ghaderi-Azar, a Kurdish diplomat",killed
1.1989-02,Mohammed Djafari Saharodi,1,1,"Mohammed Djafari Saharodi, an Iranian diplomat",wounded
1.1989-02,Fadel Mala Mahmoud Rasoul,1,1,"Fadel Mala Mahmoud Rasoul, 38, an Iraqi Kurd who had come to the meeting as a mediator",killed
1.1989-03,Bahman Javadi,1,1,"Bahman Javadi, 33, also known as Gholam Keshavarz, a Communist opponent of the Islamic Republic",killed
1.1989-03,Yussef Rashidzadeh,1,1,a companion of Bahman Javadi,wounded
1.1989-04,Sadigh Kamangar,1,1,"Sadigh Kamangar, an Iranian Kurd and member of Komelah",killed
1.1989-05,Hossein Keshavarz,1,1,"Hossein Keshavarz, a sympathizer of the People's Mojahedin of Iran (PMOI)",unclear
1.1990-01,Haj Balouch Khan,1,1,"Haj Balouch Khan, a dissident",killed
1.1990-02,Hossein Mir-Abedini,1,1,"Hossein Mir-Abedini, a senior leader in the People's Mojahedin of Iran (PMOI)",wounded
1.1990-02,Mohammad Mohaddesin,1,1,Mohammad Mohaddesin of the People's Mojahedin of Iran (PMOI),unharmed
1.1990-02,unknown_012,1,1,an Iranian,unharmed
1.1990-03,Kazem Rajavi,1,1,"Dr. Kazem Rajavi, 56, had been “the Khomeini regime’s first ambassador to the European headquarters of the UN,” but he “quit after serving for one year” (Curtiss, 1990). His brother was Massoud Rajavi, leader of the People's Mohahedin of Iran (PMOI). Kazem had debunked a report that had claimed that “Iran’s leaders had ceased torturing and publicly executing political prisoners in Tehran’s notorious Evin prison” (Curtiss, 1990). Dr. Rajavi had requested police protection in 1987.",killed
1.1990-04,Ali Kashefpour,1,1,"Ali Kashefpour, a leader in the Democratic Party of Iranian Kurdistan (PDKI)",killed
1.1990-05,Effat Ghazi,1,1,"Effat Ghazi, daughter of the Qazi Muhammad, founder of the Democratic Party of Iranian Kurdistan (PDKI)",killed
1.1990-05,Amir,1,1,"Amir, an activist and the husband of Effat Ghazi",unharmed
1.1990-06,Gholamreza Nakhai,1,1,"Gholamreza Nakhai, a political refugee",unclear
1.1990-07,Cyrus Elahi,1,1,"Cyrus Elahi, 46, was a leader in the Flag of Freedom Organization. He had been a political science professor at Tehran University.",killed
1.1991-01,Abdolrahman Boroumand,1,1,"Abdolrahman Boroumand, politician, entrepreneur, and a colleague of Shapour Bakhtiar in the National Movement of Iranian Resistance (NAMIR)",killed
1.1991-02,Safiollah Soleimanpour,1,1,"Safiollah Soleimanpour, a refugee",killed
1.1991-02,unknown_013,1,1,brother of Safiollah Soleimanpour,killed
1.1991-03,Ahad Agha,1,1,Ahad Agha of the Democratic Party of Iranian Kurdistan (PDKI),killed
1.1991-04,Shapour Bakhtiar,1,1,"Dr. Shapour Bakhtiar, 76, was a longtime opponent of the shah. However, hoping to stave off Khomeini’s revolutionary forces, the shah appointed Bakhtiar to be Iran’s prime minister. Bakhtiar’s term last only 39 days before Khomeini’s forces gained control of the country. Bakhtiar was an outspoken critic of the Khomeini regime. He was also the target of a previous assassination attempt (see 1.1980-01).",killed
1.1991-04,Soroush Katibeh,1,1,"Soroush Katibeh, secretary of Shapour Bakhtiar",killed
1.1991-05,Jawad Mehrani,1,1,"Jawad Mehrani, an arms dealer for the Iranian government",killed
1.1991-06,Saeed Yazdanpanah,1,1,Saeed Yazdanpanah of the Revolutionary Union of Kurdish people,killed
1.1992-01,Kamran Hedayati,1,1,Kamran Hedayati,wounded
1.1992-02,Shapour Firouzi,1,1,"Shapour Firouzi, a leader or member of the Democratic Party of Iranian Kurdistan (PDKI)",killed
1.1992-03,Ali Akbar Ghorbani,1,1,"Ali Akbar Ghorbani, also known as Mansour Amini, of the People's Mojahedin of Iran (PMOI)",killed
1.1992-04,unknown_014,2,2,two People's Mojahedin of Iran (PMOI) activists,unharmed
1.1992-05,Kamran Mansour Moghadam,1,1,"Kamran Mansour Moghadam, Communist and member of the Democratic Party of Iranian Kurdistan (PDKI)",killed
1.1992-06,Fereydoun Farrokhzad,1,1,"Fereydoun Farrokhzad, 48, a singer, entertainer, and dissident",killed
1.1992-07,Homayoun Moghaddam,1,1,Homayoun Moghaddam of the Iran Nation’s Party,unclear
1.1992-08,Sadegh Sharafkandi,1,1,"Dr. Sadegh Sharafkandi, 54, Secretary-General of the Democratic Party of Iranian Kurdistan (PDKI) and successor to Abdolrahman Ghassemlou (see 1.1989-02)",killed
1.1992-08,Fattah Abdoli,1,1,"Fattah Abdoli, the Democratic Party of Iranian Kurdistan (PDKI) representative for Europe",killed
1.1992-08,Homayoun Ardalan,1,1,"Homayoun Ardalan, the Democratic Party of Iranian Kurdistan (PDKI) representative for Germany",killed
1.1992-08,Nouri Dehkordi,1,1,"Nouri Dehkordi, a translator and friend of Sadegh Sharafkandi",killed
1.1992-08,Aziz Ghaffari,1,1,Aziz Ghaffari owned the restaurant in which the attack occurred.,wounded
1.1992-08,Masoud Mirrashed,1,1,Masoud Mirrashed,unharmed
1.1992-08,Mehdi Ebrahimzadeh Esfahani,1,1,Mehdi Ebrahimzadeh Esfahani,unharmed
1.1992-08,Parviz Dastmalchi,1,1,Parviz Dastmalchi,unharmed
1.1992-08,Esfandiar Sadeghzadeh,1,1,Esfandiar Sadeghzadeh,unharmed
1.1992-09,Abbas Gholizadeh,1,1,"Abbas Gholizadeh had been an officer in Iran’s army and a member of “the Organization for the Defense of Fundamental Freedoms in Iran (formerly Flag of Freedom)” (Human Rights Watch, 1994).",unclear
1.1993-01,Mehdi Haeri,1,1,"Ayatollah Mehdi Haeri (Persian: ﺣﺎﺋﺮی ﻣﮭﺪی), a dissident cleric",unharmed
1.1993-02,Heybatollah Narou’i,1,1,"Heybatollah Narou’i, a Narou’i chief",killed
1.1993-02,Delaviz Narou’i,1,1,"Delaviz Narou’i, a Narou’i chief",killed
1.1993-03,Mohammed Hussein Naghdi,1,1,"Mohammed Hussein Naghdi, 42, was the Rome representative of the National Council of Resistance of Iran (NCRI). While he had been living under police protection at home and at work, he was killed while en route between home and work.",killed
1.1993-04,Mohammad Hassan Arbab,1,1,"Mohammad Hassan Arbab, also known as Mohammad Khan Balouch, of the People's Mojahedin of Iran (PMOI)",killed
1.1993-05,Mohammad Ghaderi,1,1,Mohammad Ghaderi of the Democratic Party of Iranian Kurdistan (PDKI),killed
1.1993-06,Mehran Bahram Azadfar,1,1,Mehran Bahram Azadfar of the Democratic Party of Iranian Kurdistan (PDKI),killed
1.1993-07,Sadiq Rashidi,1,1,Sadiq Rashidi of the Democratic Party of Iranian Kurdistan (PDKI),killed
1.1993-07,unknown_015,6,7,6 or 7 other Iranian Kurds,killed
1.1994-01,Taha Kermanj,1,1,"Taha Kermanj, a leader of the Democratic Party of Iranian Kurdistan (PDKI)",killed
1.1994-02,Mohammad Bokani,1,1,"Mohammad Ghaderi, also known as Khala Hama, of the Democratic Party of Iranian Kurdistan (PDKI) or of Komelah",killed
1.1994-03,Abubakr Hedayati,1,1,"Abubakr Hedayati, a committee member of the Democratic Party of Iranian Kurdistan (PDKI)",wounded
1.1994-04,Nasser Hadji Rashidi,1,1,"Nasser Hadji Rashidi, an Iranian Kurd",wounded
1.1994-04,Mahtab Hadji Rashidi,1,1,"Mahtab Hadji Rashidi, sister of Nasser Hadji Rashidi",wounded
1.1994-05,unknown_016,2,2,two members of the People's Mojahedin of Iran (PMOI),killed
1.1994-06,Osman Muhammed Amini,1,1,"Mullah Osman Muhammed Amini, Iranian Kurd, dissident, and refugee",killed
1.1994-07,Ghafour Hamzei'i,1,1,"Ghafour Hamzei'I, a senior member of the Democratic Party of Iranian Kurdistan (PDKI)",killed
1.1994-08,Mohammad Ali Assadi,1,1,"Mohammad Ali Assadi, a dissident",killed
1.1995-01,Suleiman Chikerda,1,1,"Suleiman Chikerda, an Iranian Kurd",killed
1.1995-02,unknown_017,2,2,senior officials of the People's Mojahedin of Iran (PMOI),killed
1.1995-02,unknown_018,1,1,a senior official of the People's Mojahedin of Iran (PMOI),wounded
1.1995-03,unknown_019,2,2,"two members of Komelah, an Iranian Kurdish group",killed
1.1995-04,Hussein Adidi,1,1,"Hussein Adidi, an official of the People's Mojahedin of Iran (PMOI)",killed
1.1995-04,Ibrahim Salimi,1,1,"Ibrahim Salimi, an official of the People's Mojahedin of Iran (PMOI)",killed
1.1995-04,Yarali Karatbar,1,1,"Yarali Karatbar, an official of the People's Mojahedin of Iran (PMOI)",killed
1.1995-05,Hashem Abdollahi,1,1,"Hashem Abdollahi was a member of the National Movement of Iranian Resistance (NAMIR) and the son of Davoud Abdollahi, who had been a key witness in the trial for 1.1991-04.",killed
1.1996-01,Rahman Shabani,1,1,"Rahman Shabani, a Kurdish refugee",killed
1.1996-01,Ali Abdullah,1,1,"Ali Abdullah, a Kurdish refugee",killed
1.1996-02,Zahra Rajabi,1,1,"Zahra Rajabi, 39, also known as Mariam Jaydan Jowkar, was a member of the National Council of Resistance of Iran (NCRI), an organization affiliated with the People's Mojahedin of Iran (PMOI). She was in Turkey to aid Iranian refugees. She was also known as Mariam Jaydan Jowkar.",killed
1.1996-02,Abdol-Ali Moradi,1,1,"Abdol-Ali Moradi, a colleague of Zahra Rajabi who sympathized with the People's Mojahedin of Iran (PMOI)",killed
1.1996-03,Molavi Abdul-Malek Mollahzadeh,1,1,"Molavi Abdul-Malek Mollahzadeh, 45, a dissident and the son of Iran’s most prominent Sunni cleric",killed
1.1996-03,Abdol-Nasser Jamshid-Zahi,1,1,"Abdol-Nasser Jamshid-Zahi, an associate of Molavi Abdul-Malek Mollahzadeh",killed
1.1996-03,unknown_020,1,1,a Pakistani woman who was passing by,wounded
1.1996-04,Hamed Rahmani,1,1,Hamed Rahmani of the People's Mojahedin of Iran (PMOI),killed
1.1996-05,Reza Mazlouman,1,1,"Reza Mazlouman, also known as Kouroush Aryamanesh, 60, had been Iran's deputy education minister before the Islamic Revolution and was an outspoken critic of the Islamic Republic.",killed
1.1996-06,Faraj Sarkohi,1,1,"Faraj Sarkohi, a “prominent Iranian writer and editor”",unclear
1.1999-01,unknown_021,1,1,"""a 36-year-old woman who was a candidate for MKO [People's Mojahedin of Iran] leadership council membership"" (""Baghdad,"" 1999)",killed
1.1999-01,unknown_022,3,6,three to six other members of the People's Mojahedin of Iran (PMOI),killed
1.1999-01,unknown_023,23,37,"a group of 23–37, including 15 Iraqis",wounded
1.2001-01,unknown_024,1,1,a member of the People's Mojahedin of Iran (PMOI),killed
1.2001-01,unknown_025,24,50,"""dozens"" of members of the People's Mojahedin of Iran (PMOI)",wounded
1.2005-01,Kasra Vafadari,1,1,"Kasra Vafadari, a university professor and Zoroastrian",killed
1.2010-01,Sardasht Hama Saleh,1,1,"Sardasht Hama Saleh, the editor-in-chief of a magazine that had published excerpts from Barmak Behdad’s translation of Salman Rushdie’s The Satanic Verses",wounded
1.2012-01,Gelareh Bagherzadeh,1,1,"Gelareh Bagherzadeh, 30, studied molecular genetics at the University of Texas. She had spoken out against Iran after Iran’s 2009 presidential election.",killed
