ID,year,month,day,weekday,include_weekday,date_notes,country,sub_1,metro,city,neighborhood,appr_lat,appr_long,loc_notes
1.1992-08,1992,9,18,Friday,1,"The targets arrived at the restaurant around 19:30. The assailants entered around 22:50, hurried to the room where the targets were meeting, and began shooting. Sharafkandi, Abdoli, and Ardalan were killed before emergency workers arrived on the scene. Dehkordi was taken to a clinic, where he died on 1992-08-18 at 0:25.",Germany,Berlin,Berlin (DEU),Berlin,,52.44,13.59,a private dining room in Mykonos Restaurant
1.1992-09,1992,12,26,Saturday,1,"This is the date Gholizadeh was kidnapped. As of 1993-03-31, he was still missing.",Türkiye,Istanbul,Istanbul (TUR),Istanbul,,41.01,28.96,Gholizadeh was kidnapped from his home in suburban Istanbul.
1.1993-01,1993,1,,,0,possibly 1993-01-18,Germany,North Rhine-Westphalia,Koln (Cologne) (DEU),Cologne,,50.94,6.95,
1.1993-02,1993,3,,,0,possibly 1993-03-09,Pakistan,Sindh,Karachi (PAK),Kararchi,,24.99,67.12,outside their home
1.1993-03,1993,3,16,Tuesday,1,morning,Italy,Lazio,Roma (Rome) (ITA),Rome,Monte Sacro,41.94,12.53,as Naghdi was being driven to work in the Monte Sacro district
1.1993-04,1993,6,6,Sunday,1,,Pakistan,Sindh,Karachi (PAK),Kararchi,,24.99,67.12,as Arbab walked near his home
1.1993-05,1993,8,25,Wednesday,1,This is the date Ghaderi was abducted. His body was found about ten days later.,Türkiye,,,,,,,"Our sources vary as to the specific locale, listing Ankara, Istanbul, and Kırşehir."
1.1993-06,1993,8,28,Saturday,1,,Türkiye,Ankara,Ankara (TUR),Ankara,,39.93,32.85,at Azadfar's house
1.1993-07,1993,,,,0,multiple attacks in 1993-11 and 1993-12,Iraq,,,,,,,northern Iraq
1.1994-01,1994,1,4,Tuesday,1,,Türkiye,Çorum,Corum (TUR),Çorum,,40.55,34.96,
1.1994-02,1994,,,,0,,Iraq,,,,,,,northern Iraq
1.1994-03,1994,1,18,Tuesday,1,,Sweden,Stockholm,Stockholm (SWE),Stockholm,,59.33,18.07,at Hedayati's home
1.1994-04,1994,1,29,Saturday,1,,Türkiye,,,Syraee,,,,We cannot find any reference to such a locale outside of sources that seem to be derived from Foundation for Democracy in Iran. Perhaps they are referring to the Turkey–Syria border.
1.1994-05,1994,5,29,Sunday,1,,Iraq,Sulaymaniyah,,Qabbiyah,,,,en route to Baghdad
1.1994-06,1994,6,24,Friday,1,,Denmark,Capital Region of Denmark,Kbenhavn (Copenhagen) (DNK),Copenhagen,,55.68,12.57,at Amini's home
1.1994-07,1994,8,,,0,,Iraq,Baghdad,Baghdad (IRQ),Baghdad,,33.32,44.37,
1.1994-08,1994,11,12,Saturday,1,night,Romania,Municipality of Bucharest,Bucuresti (Bucharest) (ROU),Bucharest,,44.43,26.1,Assadi's apartment
1.1995-01,1995,,,,0,,Iraq,,,,,,,Iraqi Kurdistan
1.1995-02,1995,5,17,Wednesday,1,,Iraq,Baghdad,Baghdad (IRQ),Baghdad,,33.32,44.37,
1.1995-03,1995,,,,0,1995-06-05 or 1995-07,Iraq,Sulaymaniyah,Sulaimaniya (IRQ),Sulaymaniyah,,35.56,45.44,
1.1995-04,1995,7,10,Monday,1,,Iraq,Baghdad,Baghdad (IRQ),Baghdad,,33.32,44.37,along a causeway
1.1995-05,1995,9,17,Sunday,1,,France,Île-de-France,Paris (FRA),Paris,,48.86,2.35,Abdollahi's apartment
1.1996-01,1996,1,2,Tuesday,1,,Iraq,Sulaymaniyah,Sulaimaniya (IRQ),Sulaymaniyah,,35.56,45.44,
1.1996-02,1996,2,,,0,"""on Tuesday night or Wednesday morning"" (National Council of Resistance of Iran, ""Brief"")—that is, 1996-02-20 or 1996-02-21",Türkiye,Istanbul,Istanbul (TUR),Istanbul,,41.01,28.96,Rajabi's apartment
1.1996-03,1996,3,4,Monday,1,Our sources do not clarify whether the two were killed in one or two attacks.,Pakistan,Sindh,Karachi (PAK),Karachi,,24.99,67.12,outside Mollahzadeh's house
1.1996-04,1996,3,7,Thursday,1,"at night, ""on the eve of Iranian elections for parliament"" (""Iranian Militant"")",Iraq,Baghdad,Baghdad (IRQ),Baghdad,central,33.32,44.37,as Rahmani drove to his office in central Baghdad
1.1996-05,1996,5,27,Monday,1,evening | Mazlouman's body was found the next day.,France,Île-de-France,Paris (FRA),Créteil,,44.79,2.46,at Mazlouman's home
1.1996-06,1996,11,,,0,,Germany,Hamburg,Hamburg (DEU),Hamburg,,53.55,10,"in, near, or en route to Hamburg"
1.1999-01,1999,6,9,Wednesday,1,morning,Iraq,Baghdad,Baghdad (IRQ),Baghdad,,33.32,44.37,"about 10 miles north or northeast of Baghdad, as PMOI members were en route to their Ashraf base in northern Iraq"
1.2001-01,2001,4,18,Wednesday,1,,Iraq,,,,,,,"along the Iran-Iraq border, in or near the towns of Jalwala, Kut, and Al-Amarah | These towns are not near each other, so there may have been multiple attacks."
1.2005-01,2005,5,,,0,about two weeks before 2005-05-29,France,Île-de-France,Paris (FRA),Paris,,48.86,2.35,Vafadari's apartment
1.2010-01,2010,3,8,Monday,1,around 15:00,Iraq,Sulaymaniyah,Sulaimaniya (IRQ),Sulaymaniyah,,35.56,45.44,
1.2012-01,2012,1,15,Sunday,1,around 23:45,United States,Texas,Houston (USA),Houston,,29.76,-95.38,as Bagherzadeh was driving near her home
